1,CAM,10.176.34.84,prod
2,CATS,10.176.34.115,prod
3,CLUX,10.176.34.114,prod
4,DFSDEVD,10.176.34.155,test
5,DFSNZ1,10.176.34.170,dr
6,DRCAM,10.176.34.245,dr
7,DRCATS,10.176.34.215,dr
8,DRCLUX,10.176.34.214,dr
9,DRDFSNZ1,10.176.34.99,dr
10,DRFRANCE,10.176.32.136,dr
11,DRGDC,10.176.34.222,dr
12,DRGVA,10.176.34.220,dr
13,DRHKGA,10.176.34.217,dr
14,DRHNL,10.176.34.223,dr
15,DRINDO,10.176.34.227,dr
16,DRITL,10.176.34.246,dr
17,DRKOREA,10.176.34.208,dr
18,DRLAX1,10.176.34.224,dr
19,DRMIDEST,10.176.34.210,dr
20,DRMIDPAC,10.176.34.211,dr
21,DRPAD1,10.176.34.204,dr
22,DRPAX1,10.176.34.203,dr
23,DRPRC,10.176.34.213,dr
24,DRSAP2PF,10.176.34.179,dr
25,DRSFO,10.176.32.137,dr
26,DRSFO2,10.176.34.212,dr
27,DRSIN2,10.176.34.228,dr
28,DRSYD,10.176.34.229,dr
29,FRANCE,10.176.32.133,prod
30,GDC,10.176.34.111,prod
31,GVA,10.176.34.83,prod
32,HKGA,10.176.34.88,prod
33,HNL,10.176.34.153,prod
34,INDO,10.176.34.82,prod
35,ITL,10.176.34.87,prod
36,KOREA,10.176.34.93,prod
37,KSENV5U,10.176.34.138,nonprod
38,KSENV6,10.176.34.121,nonprod
39,KSENV6U,10.176.34.139,nonprod
40,LAX1,10.176.34.154,prod
41,MIDEAST,10.176.34.85,prod
42,MIDPAC,10.176.34.89,prod
43,PAD1,10.176.34.98,prod
44,PAX1,10.176.34.97,prod
45,PRC,10.176.34.140,prod
46,SAP2PFS,10.176.34.180,nonprod
47,SAPFS,10.176.34.230,nonprod
48,SAPFSAT1,10.176.34.95,nonprod
49,SFO,10.176.34.151,prod
50,SFO2,10.176.34.152,prod
51,SIN2,10.176.34.80,prod
52,SYD,10.176.34.86,prod
53,TSFRSIT,10.176.32.134,test
54,TSFRUAT,10.176.32.135,test
55,TSITLSIT,10.176.34.22,test
56,TSITLUAT,10.176.34.15,test
57,TSMIDPAC,10.176.34.225,test
58,TSTCAM,10.176.34.101,test
59,TSTCLUX,10.176.34.202,test
60,TSTFS,10.176.34.184,test
61,TSTGDC,10.176.34.254,test
62,TSTHKGA,10.176.34.206,test
63,TSTHKGA1,10.176.34.226,test
64,TSTLAX1,10.176.34.251,test
65,TSTSFO,10.176.34.209,test
66,TSTSFO1,10.176.34.248,test
67,TSTSIN,10.176.34.12,test
