1,CAM,10.176.34.84,prod
2,CATS,10.176.34.115,prod
3,CLUX,10.176.34.114,prod
4,DFSDEVD,10.176.34.155,test
5,DFSNZ1,10.176.34.170,prod
6,DRSAP2PF,10.176.34.179,dr
7,FRANCE,10.176.32.133,prod
8,GDC,10.176.34.111,prod
9,GVA,10.176.34.83,prod
10,HKGA,10.176.34.88,prod
11,HNL,10.176.34.153,prod
12,INDO,10.176.34.82,prod
13,ITL,10.176.34.87,prod
14,KOREA,10.176.34.93,prod
15,KSENV5U,10.176.34.138,nonprod
16,KSENV6,10.176.34.121,nonprod
17,KSENV6U,10.176.34.139,nonprod
18,LAX1,10.176.34.154,prod
19,MIDEAST,10.176.34.85,prod
20,MIDPAC,10.176.34.89,prod
21,PAD1,10.176.34.98,prod
22,PAX1,10.176.34.97,prod
23,PRC,10.176.34.140,prod
24,SAP2PFS,10.176.34.180,nonprod
25,SAPFS,10.176.34.230,nonprod
26,SAPFSAT1,10.176.34.95,nonprod
27,SFO,10.176.34.151,prod
28,SFO2,10.176.34.152,prod
29,SIN2,10.176.34.80,prod
30,SYD,10.176.34.86,prod
31,TSFRSIT,10.176.32.134,test
32,TSFRUAT,10.176.32.135,test
33,TSITLSIT,10.176.34.22,test
34,TSITLUAT,10.176.34.15,test
35,TSMIDPAC,10.176.34.225,test
36,TSTCAM,10.176.34.101,test
37,TSTCLUX,10.176.34.202,test
38,TSTFS,10.176.34.184,test
39,TSTGDC,10.176.34.254,test
40,TSTHKGA,10.176.34.206,test
41,TSTHKGA1,10.176.34.226,test
42,TSTLAX1,10.176.34.251,test
43,TSTSFO,10.176.34.209,test
44,TSTSFO1,10.176.34.248,test
45,TSTSIN,10.176.34.12,test
